Location,Year,Population,n.Year,n.Population
"Martin County, North Carolina",2018,22660,n.2018,0.32
"Martin County, North Carolina",2019,22440,n.2019,0
"Mecklenburg County, North Carolina",2016,1056901,n.2016,0
"Mecklenburg County, North Carolina",2017,1078128,n.2017,0.4
"Mecklenburg County, North Carolina",2018,1093750,n.2018,0.69
"Mecklenburg County, North Carolina",2019,1110356,n.2019,1
"Mitchell County, North Carolina",2016,14996,n.2016,1
"Mitchell County, North Carolina",2017,14992,n.2017,0.88
"Mitchell County, North Carolina",2018,14996,n.2018,1
"Mitchell County, North Carolina",2019,14964,n.2019,0
"Montgomery County, North Carolina",2016,27301,n.2016,1
"Montgomery County, North Carolina",2017,27269,n.2017,0.86
"Montgomery County, North Carolina",2018,27077,n.2018,0
"Montgomery County, North Carolina",2019,27173,n.2019,0.43
"Moore County, North Carolina",2016,95405,n.2016,0
"Moore County, North Carolina",2017,97368,n.2017,0.36
"Moore County, North Carolina",2018,98805,n.2018,0.62
"Moore County, North Carolina",2019,100880,n.2019,1
"Nash County, North Carolina",2016,93953,n.2016,0
"Nash County, North Carolina",2017,94019,n.2017,0.19
"Nash County, North Carolina",2018,94094,n.2018,0.41
"Nash County, North Carolina",2019,94298,n.2019,1
"New Hanover County, North Carolina",2016,224809,n.2016,0
"New Hanover County, North Carolina",2017,228728,n.2017,0.41
"New Hanover County, North Carolina",2018,232256,n.2018,0.77
"New Hanover County, North Carolina",2019,234473,n.2019,1
"Northampton County, North Carolina",2016,20127,n.2016,1
"Northampton County, North Carolina",2017,19890,n.2017,0.63
"Northampton County, North Carolina",2018,19698,n.2018,0.33
"Northampton County, North Carolina",2019,19483,n.2019,0
"Onslow County, North Carolina",2016,192314,n.2016,0
"Onslow County, North Carolina",2017,195066,n.2017,0.49
"Onslow County, North Carolina",2018,196915,n.2018,0.82
"Onslow County, North Carolina",2019,197938,n.2019,1
"Orange County, North Carolina",2016,142800,n.2016,0
"Orange County, North Carolina",2017,143626,n.2017,0.15
"Orange County, North Carolina",2018,147980,n.2018,0.91
"Orange County, North Carolina",2019,148476,n.2019,1
"Pamlico County, North Carolina",2016,12765,n.2016,1
"Pamlico County, North Carolina",2017,12638,n.2017,0.04
"Pamlico County, North Carolina",2018,12633,n.2018,0
"Pamlico County, North Carolina",2019,12726,n.2019,0.7
"Pasquotank County, North Carolina",2016,39392,n.2016,0.01
"Pasquotank County, North Carolina",2017,39386,n.2017,0
"Pasquotank County, North Carolina",2018,39583,n.2018,0.45
"Pasquotank County, North Carolina",2019,39824,n.2019,1
"Pender County, North Carolina",2016,58771,n.2016,0
"Pender County, North Carolina",2017,60719,n.2017,0.45
"Pender County, North Carolina",2018,62017,n.2018,0.76
"Pender County, North Carolina",2019,63060,n.2019,1
"Perquimans County, North Carolina",2016,13402,n.2016,0.26
"Perquimans County, North Carolina",2017,13439,n.2017,0.71
"Perquimans County, North Carolina",2018,13381,n.2018,0
"Perquimans County, North Carolina",2019,13463,n.2019,1
"Person County, North Carolina",2016,39270,n.2016,0
"Person County, North Carolina",2017,39338,n.2017,0.31
"Person County, North Carolina",2018,39436,n.2018,0.75
"Person County, North Carolina",2019,39490,n.2019,1
"Pitt County, North Carolina",2016,177171,n.2016,0
"Pitt County, North Carolina",2017,178607,n.2017,0.4
"Pitt County, North Carolina",2018,179575,n.2018,0.67
"Pitt County, North Carolina",2019,180742,n.2019,1
"Polk County, North Carolina",2016,20414,n.2016,0
"Polk County, North Carolina",2017,20564,n.2017,0.48
"Polk County, North Carolina",2018,20668,n.2018,0.82
"Polk County, North Carolina",2019,20724,n.2019,1
"Randolph County, North Carolina",2016,143062,n.2016,0.04
"Randolph County, North Carolina",2017,143037,n.2017,0
"Randolph County, North Carolina",2018,143249,n.2018,0.34
"Randolph County, North Carolina",2019,143667,n.2019,1
"Richmond County, North Carolina",2016,45012,n.2016,1
"Richmond County, North Carolina",2017,44827,n.2017,0
"Richmond County, North Carolina",2018,44888,n.2018,0.33
"Richmond County, North Carolina",2019,44829,n.2019,0.01
"Robeson County, North Carolina",2016,133383,n.2016,1
"Robeson County, North Carolina",2017,132626,n.2017,0.73
"Robeson County, North Carolina",2018,131884,n.2018,0.46
"Robeson County, North Carolina",2019,130625,n.2019,0
"Rockingham County, North Carolina",2016,91308,n.2016,1
"Rockingham County, North Carolina",2017,90791,n.2017,0.25
"Rockingham County, North Carolina",2018,90617,n.2018,0
"Rockingham County, North Carolina",2019,91010,n.2019,0.57
"Rowan County, North Carolina",2016,139410,n.2016,0
"Rowan County, North Carolina",2017,140356,n.2017,0.35
"Rowan County, North Carolina",2018,141128,n.2018,0.64
"Rowan County, North Carolina",2019,142088,n.2019,1
"Rutherford County, North Carolina",2016,66286,n.2016,0
"Rutherford County, North Carolina",2017,66529,n.2017,0.33
